,연수명,내용,별점,등록일
2438,"기초학력의 첫걸음, 한글교육",선생님의 노하우를 오롯이 다 배워가는 소중한 시간 이었어요 감사합니다,rate5,2022.03.30
2439,놀이와 질문이 함께하는 감동의 그림책 수업,"그림책을 활용한 수업이 이렇게 재미있을 줄 몰랐습니다.
물론 감동도 흘러 넘치구요. 1학년에서 6학년까지 모든 학생을 대상으로 할 수 있는 다양한 그림책을 소개해 주고, 그 그림책을 활용한 수업이 너무 좋았습니다. 교재도 함께 구입했는데 책을 통해서 더욱 자세히 알게 되었습니다. 좋은 연수 감사합니다!",rate5,2022.03.30
2440,박진희와 함께 하는 교실 속 환경교육,"실제 학교에서 환경교육을 어떻게 할 수 있는지 알 수 있는 좋은 연수였습니다.
환경교육이라고 하면 쓰레기 베출을 줄이기, 분리배출 등만 생각했는데, 환경과 관련된 다양한 주제를 다루어 유용했습니다.",rate5,2022.03.29
2441,"그림책, 우리 학급의 마음을 두드리다",1학년 맡게되어 그림책 많이 활용하고 싶어서 신청했어요,rate5,2022.03.29
2442,디지털 네이티브 아이들의 메타버스 세상,"세상은 변화하고 있어도 교육계는 제일 늦게 변한다는 말이 있다. 새로운 세상에 나아가야하는 시점에 와 있는 나로서는 자연으로 돌아가고 싶은 맘이 많이 든다. 하지만 세상의 흐름도 알아야하지 않는가 싶다.
교육, 정치, 경제 등 총 망라한 메타버스가 평등하다는 것은 매우 좋은 점이라고 본다. 연수를 듣다 보니 용어의 어려움 연결의 어려움은 있으나 '메타버스 세상을 ' 듣고 있노라면 교육계에 접목할 수 있는 영역이 무한하다고 본다. 수동적에서 능동적으로 자유롭게 이동하면서 체험할 수 있다는 점이 매우 좋으며 코로나 상황에 비대면 교육 도구로는 훌륭하다고 본다. 또한 진로교육에 유익하다고 본다.",rate5,2022.03.29
2443,읽고 쓰고 만드는 그림책 수업,"그림책의 구조부터 시작해서 글을 어떻게 만들어가는지 그림으로 어떻게 표현해야하는지 알 수 있어 좋았습니다.
특히 아이들의 생각을 이끌어낼 수 있는 방법들을 배운 것 같아 좋았습니다.",rate5,2022.03.28
2444,"4R'S로 키우는 힘, 기초학력교육",학급에 기초학력이 부족한 학생들이 많아 듣게 된 연수인데 어떤 방향으로 지도해야 할 지 감이 잡히네요.,rate5,2022.03.28
2445,정재승의 미래학교,나 스스로의 변화가 필요하구나라고 많은 부분을 느꼈습니다.,rate5,2022.03.28
2446,놀이와 질문이 함께하는 감동의 그림책 수업,연수명과 같이 감동의 그림책 수업이 될 수 있도록 잘 이끌어주는 연수였습니다.,rate5,2022.03.28
2447,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,학생들과 함께 실천하고 나만의 것으로 만들고픈 연수였습니다.,rate5,2022.03.28
2448,"학습격차, 차이를 넘어 함께 성장하기",학습 격차 감소를 위해 교실에서 실제로 적용할 수 있는 부분이 많았던 실용적인 연수였습니다.,rate5,2022.03.28
2449,놀이와 질문이 함께하는 감동의 그림책 수업,"그림책 연수를 다른 것도 받아봤는데 이인희 선생님의 차별화된 연수 아주 좋았어요.
감동적인 연수 잘 받았어요.",rate5,2022.03.28
2450,"학습격차, 차이를 넘어 함께 성장하기",학습격차가 많은 학생들 지도에 대한 좋은 자료를 얻었어요.,rate5,2022.03.28
2451,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)",마을학교가 무엇인지 어떻게 참여하며 함께해야하는지 잘 이해하게 되었습니다.,rate5,2022.03.27
2452,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"1학년을 연속해서 담임하고 있는데도 불구하고, 왜 늘 문제상황에서는 당황스럽고 어렵기만 한 걸까요? 이 문제 상황에는 어느 정도 익숙해졌다 싶으면 생각하지 못했던 다른 문제상황이~~ !!
1학년 담임만이 가질 수 있는 고민과 어려움을 너무 속시원하게 정리해주셔서 감사합니다.
1학년 담임을 처음 맡기 전에 이 연수를 보는 것만으로도 90%는 준비가 될 것 같아요~
작은 것, 세세한 것까지 정리해주시고, 무엇보다 실제 경험을 바탕으로 구체적인 예를 들어서 설명해주시는 부분이 너무 좋았습니다.
처음으로 연수를 2번 돌려가며 복습하며 들었어요~ 그런데 앞으로 3,4번 반복해서 들을 것 같아요~
마지막 연수에서 남겨주신 말씀~ 다이어리에 적어놓고 기운이 빠질때마다 읽어보고 있어요~
- 저 아이가 나를 교사로서 성장시키려고 만나게 된 아이인가보다-",rate5,2022.03.27
2453,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"편하게 지금 1학년하면서 들으니 귀에 쏙쏙 들어오네요.
학부모 총회가 조금 늦어서 참고 잘 되었습니다.
총회와 상담 준비에 도움 많이 되었습니다.

1학년 학습지도 부분도 개설해주세요.

발표잘하게 하는 것, 쓰기 지도 등 기초적이지만 놓치지 않아야 하는 것들로요.

감사합니다.",rate5,2022.03.26
2454,Let's AI 인공지능 교육 활용편,"실제 교실에서 활용해 볼 수 있는 인공지능 수업으로 연수가 구성되어 유익한 연수였습니다.
준비물도 그렇게 많지 않아서 학생들도 엔트리에 익숙해진다면 다양한 프로그램들이 나올 수 있을 것 같습니다.",rate5,2022.03.25
2455,"즐거운 대화, 하브루타로 수업하기",연수듣고 다시 신청했어요 자세하게 다시 들을 수 있어서 좋았습니다~,rate5,2022.03.25
2456,세상 쉬운 고교학점제! 진로 진학 끝판왕,잘들었습니다.,rate5,2022.03.25
2457,놀이와 질문이 함께하는 감동의 그림책 수업,아이들의 삶에 의미 있게 녹아드는 그림책 수업을 하고 싶어 신청했는데 다양한 그림책들을 소개해 주셔서 좋았습니다. 좋은 연수 감사합니다!,rate5,2022.03.25
2458,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)","본 연수를 통해 마을교육공동체에 관한 개념이 확실하게 정립되었고, 어떻게 운영해야 마을학교가 잘 운영될 지에 관하여 시사점을 얻을 수 있었음.",rate5,2022.03.24
2459,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,유익한 연수였습니다,rate5,2022.03.23
2460,전문가가 알려주는 창의 영재교육의 비법,영재 강사활동으로 듣기에 효율적이빈다.,rate5,2022.03.23
2461,설민석의 한국사능력검정시험[심화]-상,설민석의 우리 역사 바로 알기 연수는 참 유익했던 시간이었다. 많은 야사나 역사 뒷이야기등이 매우 궁금해서 기다려지는 시간이었다.,rate5,2022.03.22
2462,"그림책, 우리 학급의 마음을 두드리다",매우 전문적이고 흥미로운 연수였습니다. 재수강하려고 합니다.,rate5,2022.03.22
2463,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,"1학년 지도경력이 없진 않지만, 매년 새로와지는 교육환경과 아이들 그리고 학부모까지... 내 마음을 새롭게 하기 위해 선택한 '1학년 교사를 위한 한해살이 가이드' 연수! 입학준비부터 1학년 아이들과 학부모를 대함에 있어 알고 있어야 할 내용을 전체적으로 잘 아우른 연수였습니다. 이 연수를 받으니 1학년 아동의 학습과 생활지도를 어떻게 설계해야할 지 기본적이 밑그림이 그려졌습니다. 2월 또는 3월에 듣기를 추천합니다.",rate5,2022.03.21
2464,"나도 재미있는 메이커교육(영상활용과 온, 오프라인 메이커활동)","겁먹었던 메이커교육 연수, 즐겁게 참여했고 겁을 많이 없앴습니다.
유치원에서도 활용 가능해보입니다!",rate3,2022.03.21
2465,박진희와 함께 하는 교실 속 환경교육,"환경 교육이라고 하면 우리 일상 생활과 매우 밀접한 관련이 있다.
그래서 정말 작은 것부터 실천하는 것이 가장 중요한 것 같다.
아이들과 같이 실천하기!",rate5,2022.03.21
2466,디지털 네이티브 아이들의 메타버스 세상,"가상현실 세계가 교육에서 활동 되는 사례들을 듣고 고민에 빠지게 되었습니다.
현실의 지금과 미래의 교육 활동들이 변화하게 될 것이라는 생각에 미래의 이런 교육은 어떻게 준비를 해야 하나? 하는 고민을 하고
준비를 할 수 있도록 하려면 또 어떤 교육을 받아야 할까? 하는 고민과 연수원에서 계속해서 관련된 연수가 있으면 시대를 따라 가려면
공부를 해야 할 것 같습니다. 감사합니다.",rate5,2022.03.21
2467,세상 쉬운 고교학점제! 진로 진학 끝판왕,좋은 연수 감사합니다.,rate5,2022.03.21
2468,세상 쉬운 고교학점제! 진로 진학 끝판왕,"실제 학교에서 근무하는 교사로서 고교학점제에 대한 고민이 많을 수 밖에 없다.
하지만 연수를 통해 국내외의 다양한 사례를 통해 많은 것을 배울 수 있었다.",rate5,2022.03.21
2469,한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,"인공지능과 관련된 각 분야의 전문가들분들께서 엄청 쉽게 설명해주셔서 ‘차이나는 클래스’같은 방송보듯 재밌게 수강할 수 있습니다.
인공지능 처음 입문하시는 분들께 강추합니다.",rate5,2022.03.20
2470,놀이와 질문이 함께하는 감동의 그림책 수업,놀이와 질문이 함께하여 학생들이 즐겁고 행복한 시간을 보낼 수 있는 그림책을 통한 놀이는 코로나19에 지쳐있고 놀지 못하는 학생들에게 행복과 감동과 즐거움을 줄 수 있을것 같다. 많은 도움을 받을수 있었어요.,rate5,2022.03.19
2471,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)","마을교사로서 꼭 필요한 다양한 내용들과 구성되어 즐겁게 배웠습니다.
책임감과 아이들을 더욱 존중하고 배려하며 함께 배움의 마을공동체를 이뤄나가는 것이 얼마나 가치있는 일인지를
다시금 깨닫게 되었습니다. 좋은 콘텐츠로 배움의 폭과 깊이를 더할 수 있어 감사드립니다.",rate5,2022.03.19
2472,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"교실 속에서 직업놀이를 자연스럽게 아이들 스스로 할 수 있다니 참신하네요
아이들의 행복한 교실 생활을 위해 우리반 만을 위한 방법으로 시도해봐야겠습니다",rate5,2022.03.19
2473,"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)","마을 학교 교사로서 역량 강화 연수를 받으니 마을 교육 공동체의 중요성을 다시 한번 깨닫는 계기가 되었어요.
또한, 미래 사회를 개척할 청소년들이 필요한 교육 패러다임 전환의 필요성 알게 되었고요.
모범적인 지역구 사례를 참고삼아 우리 지역 특색에 맞는 마을 교육은 무엇인지 생각해 볼 수 있어 좋았습니다.
감사합니다. ^^",rate5,2022.03.19
2474,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,구체적 사례를 통해 많은 것을 배운 정말 유익한 연수였습니다. ^^,rate5,2022.03.19
2475,설민석의 한국사능력검정시험[심화]-하,한국사능력검정 심화(하)를 통해 한국사의 역사적 흐름과 역사적 사실에 대한 간결하고도 핵심적인 내용을 잘 이해하는 연수였다.,rate5,2022.03.19
2476,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,1학년 경험있었어도 다시한번 정리해주시고 새로운 것도 많이 알게 되었어요. 적극 추천합니다.,rate5,2022.03.19
2477,서준호 선생님의 놀이 끝판왕 100,재미있어요~,rate5,2022.03.19
2478,"학습격차, 차이를 넘어 함께 성장하기",학습 지도에 많은 도움을 받았습니다. ^^,rate5,2022.03.18
2479,"학습격차, 차이를 넘어 함께 성장하기",필수연수라 들었는데 내용도 유익하고 좋아요,rate5,2022.03.18
2480,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,오랜만에 1학년이라 너무 걱정이 되었는데 강의를 통해서 감도 되찾고 자신감도 얻었습니다 감사합니다^^,rate5,2022.03.17
2481,정재승의 미래학교,"영재수업을 맡게되며 미래수업에 대하여 알고싶어 이수하게되었습니다.
미래수업의 방향과 영재수업의 방향에 대하여 공부할수있는 좋은시간이었습니다",rate5,2022.03.17
2482,놀이와 질문이 함께하는 감동의 그림책 수업,"2022년은 ""그림책 놀이수업의 기적""을 만나서 교사인 나도 행운이지만 올 해 나의 학생들에게도 행운이라고 생각합니다.
무슨 책과 무슨 놀이가 나올까 궁금하여 하루에 집중적으로 몰아서 연수를 받았습니다. 이제 필요할 때마다 하나 하나 끄집어 내서 다시 보려고 합니다. 올 한 해 여기에 나온 책을 읽고 모두 실천해보고자 합니다. 감사합니다.",rate5,2022.03.17
